id;is_active;is_correct;answer;created_by;created_time;score
1;false;true;monitor Metal;Metal;2021-08-07T13:35:46;45274
2;false;false;eyeballs Ethiopian Birr Montenegro;Borders Checking Account;2021-08-08T09:15:01;14052
3;true;true;Salad Identity;Bike solid state;2021-08-07T21:52:43;66599
4;false;true;Armenian Dram;neural South Africa Valleys;2021-08-07T18:38:55;35468
5;false;true;index;withdrawal intuitive;2021-08-07T12:25:31;86607
6;false;true;Developer B2C;sexy Minnesota intuitive;2021-08-08T07:57:23;62792
7;false;true;index;transmitter;2021-08-08T00:17:33;43094
8;false;false;Small National visualize;Nebraska synthesizing Borders;2021-08-08T09:14:31;50710
9;false;false;holistic Cotton;Handmade Wooden Chicken Glen;2021-08-07T19:36:44;40906
10;false;false;Congolese Franc;Unbranded;2021-08-07T15:31:06;78089
