id;user_id;question_id;answer_id;question_set_id;created_time
1;payment Danish Krone;10644;13337;7917;2021-08-13T12:58:43
2;Dynamic Seamless;51310;99961;67483;2021-08-14T06:56:46
3;quantify;20149;3943;58599;2021-08-13T21:20:48
4;Florida EXE;61972;35231;23165;2021-08-14T03:02:19
5;Object-based Fish Bulgarian Lev;50713;67737;54715;2021-08-13T13:35:17
6;Berkshire;26418;21826;56875;2021-08-14T09:13:47
7;Shoes engineer Overpass;37939;44842;40064;2021-08-14T09:59:46
8;TCP rich adapter;14741;83590;23586;2021-08-13T22:23:01
9;Web;35582;79713;18269;2021-08-14T09:24:28
10;Tasty e-commerce;15518;88832;48901;2021-08-14T10:28:40
